Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Pittsburgh, Pennsylvania, United States",[],0,[],0,[],0
"Charlotte, North Carolina, United States",[],0,[],0,[],0
"St. Petersburg, Florida, United States",[],0,[],0,[],0
"Houston, Texas, United States",[],0,[],0,[],0
"Mcpherson, Kansas, United States",[],0,[],0,[],0
"Toronto, Ontario, Canada",[],0,[],0,[],0
"Pensacola, Florida, United States",[],0,[],0,[],0
"Milano, Lombardia, Italy",[],0,[],0,[],0
"Toronto, Ontario, Canada",[],0,[],0,[],0
"Mississippi State, Mississippi, United States",[],0,[],0,[],0
"Philadelphia, Pennsylvania, United States",[],0,[],0,[],0
"Glassboro, New Jersey, United States",[],0,[],0,[],0
"Jackson, Mississippi, United States",[],0,[],0,[],0
"Oakville, Ontario, Canada",[],0,[],0,[],0
"Troy, Alabama, United States",[],0,[],0,[],0
"Boston, Massachusetts, United States",[],0,[],0,[],0
"Canberra, Australian Capital Territory, Australia",[],0,[],0,[Australian],1
"Kent, Ohio, United States",[],0,[],0,[],0
"Baltimore, Maryland, United States",[],0,[],0,[],0
"Warwick, Rhode Island, United States",[],0,[],0,[],0
"Milwaukee, Wisconsin, United States",[],0,[],0,[],0
"Hamilton, Ontario, Canada",[],0,[],0,[],0
"Fishers, Indiana, United States",[Fishers],1,[],0,[],0
"Singapore, Central Region, Singapore",[],0,[],0,[],0
"Baltimore, Maryland, United States",[],0,[],0,[],0
"Laramie, Wyoming, United States",[],0,[],0,[],0
"Las Vegas, Nevada, United States",[],0,[],0,[],0
"Amherst, Massachusetts, United States",[],0,[],0,[],0
"Calgary, Alberta, Canada",[],0,[],0,[],0
"Liverpool, Liverpool, United Kingdom",[],0,[],0,[],0
"Fresno, California, United States",[],0,[],0,[],0
"Welland, Ontario, Canada",[],0,[],0,[],0
"Baltimore, Maryland, United States",[],0,[],0,[],0
"Fullerton, California, United States",[],0,[],0,[],0
"La Jolla, California, United States",[],0,[],0,[],0
"Loughborough, Leicestershire, United Kingdom",[],0,[],0,[],0
"Nairobi, Nairobi Area, Kenya",[],0,[],0,[],0
"Mound City, Kansas, United States",[],0,[],0,[],0
"Las Cruces, New Mexico, United States",[],0,[],0,[],0
"Boca Raton, Florida, United States",[],0,[],0,[],0
"Orono, Maine, United States",[],0,[],0,[],0
"Scranton, Pennsylvania, United States",[],0,[],0,[],0
"Lancaster, Ohio, United States",[],0,[],0,[],0
"San Jose, California, United States",[],0,[],0,[],0
"Worcester, Massachusetts, United States",[],0,[],0,[Worcester],1
"Richmond, Indiana, United States",[],0,[],0,[],0
"Saint Paul, Minnesota, United States",[],0,[],0,[],0
"Terre Haute, Indiana, United States",[],0,[],0,[],0
"Providence, Rhode Island, United States",[Providence],1,[],0,[],0
"Oshawa, Ontario, Canada",[],0,[],0,[],0
"Raleigh, North Carolina, United States",[],0,[],0,[],0
"Morgantown, West Virginia, United States",[],0,[],0,[],0
"Durham, New Hampshire, United States",[],0,[],0,[],0
"Singapore, Central Region, Singapore",[],0,[],0,[],0
"Andover, Massachusetts, United States",[],0,[],0,[],0
"Anchorage, Alaska, United States",[],0,[],0,[],0
"Cleveland, Ohio, United States",[],0,[],0,[],0
"Lubbock, Texas, United States",[],0,[],0,[],0
"Rio Grande, Ohio, United States",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"La Loupe, Centre, France",[],0,[],0,[],0
"Boston, Massachusetts, United States",[],0,[],0,[],0
"Boston, Massachusetts, United States",[],0,[],0,[],0
"Singapore, Central Region, Singapore",[],0,[],0,[],0
"La Mirada, California, United States",[],0,[],0,[],0
"Siloam Springs, Arkansas, United States",[],0,[],0,[],0
"Klamath Falls, Oregon, United States",[],0,[],0,[],0
"South Orange, New Jersey, United States",[],0,[],0,[],0
"Cedarville, Ohio, United States",[],0,[],0,[],0
"Davidson, North Carolina, United States",[],0,[],0,[],0
"Rishikesh, Uttarakhand, India",[],0,[],0,[Rishikesh],1
"Oakland, California, United States",[],0,[],0,[],0
"Dayton, Ohio, United States",[],0,[],0,[],0
"Providence, Rhode Island, United States",[Providence],1,[],0,[],0
"Waterford, Waterford, Ireland",[],0,[],0,[],0
"Smithfield, Rhode Island, United States",[],0,[],0,[],0
"Swansea, Swansea, United Kingdom",[],0,[],0,[],0
"Loma Linda, California, United States",[],0,[],0,[],0
"Exeter, Devon, United Kingdom",[],0,[],0,[],0
"Stanford, California, United States",[],0,[],0,[],0
"Northampton, Massachusetts, United States",[],0,[],0,[],0
"Berea, Ohio, United States",[],0,[],0,[],0
"Potsdam, New York, United States",[],0,[],0,[],0
"Buffalo, New York, United States",[],0,[],0,[],0
"New Orleans, Louisiana, United States",[],0,[],0,[],0
"Greensboro, North Carolina, United States",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"Champaign, Illinois, United States",[Champaign],1,[],0,[],0
"Cheyney, Pennsylvania, United States",[],0,[],0,[],0
"Nashville, Tennessee, United States",[],0,[],0,[],0
"Framingham, Massachusetts, United States",[],0,[],0,[],0
"Tucson, Arizona, United States",[],0,[],0,[],0
"Prakanong, Krung Thep, Thailand",[],0,[],0,[],0
"Richardson, Texas, United States",[],0,[],0,[],0
"Minneapolis, Minnesota, United States",[],0,[],0,[],0
"Washington, District of Columbia, United States",[],0,[],0,[],0
"Ypsilanti, Michigan, United States",[],0,[],0,[],0
"Denver, Colorado, United States",[],0,[],0,[],0
"Goshen, Indiana, United States",[],0,[],0,[],0
"Sheffield, Sheffield, United Kingdom",[],0,[],0,[],0
"Los Angeles, California, United States",[],0,[],0,[],0
"Northfield Falls, Vermont, United States",[],0,[],0,[],0
"Nashville, Tennessee, United States",[],0,[],0,[],0
"Pensacola, Florida, United States",[],0,[],0,[],0
"Taipei, T'ai-pei, Taiwan",[],0,[],0,[],0
"Wichita, Kansas, United States",[],0,[],0,[],0
"Galway, Galway, Ireland",[],0,[],0,[],0
"Adelaide, South Australia, Australia",[],0,[],0,[],0
"Newport, Kentucky, United States",[],0,[],0,[],0
"Providence, Rhode Island, United States",[Providence],1,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Camden, New Jersey, United States",[],0,[],0,[],0
"Rochester, New York, United States",[],0,[],0,[],0
"Gwynedd Valley, Pennsylvania, United States",[],0,[],0,[],0
"Grand Rapids, Michigan, United States",[],0,[],0,[],0
"Ariana, Tunis, Tunisia",[],0,[],0,[],0
"Merced, California, United States",[],0,[],0,[],0
"Hiram, Ohio, United States",[],0,[],0,[],0
"Pittsburgh, Pennsylvania, United States",[],0,[],0,[],0
"Cleveland, Ohio, United States",[],0,[],0,[],0
"Batesville, Arkansas, United States",[],0,[],0,[],0
"Waco, Texas, United States",[],0,[],0,[],0
"Cedar Falls, Iowa, United States",[],0,[],0,[],0
"Danville, Kentucky, United States",[],0,[],0,[],0
"Grand Rapids, Michigan, United States",[],0,[],0,[],0
"Normal, Alabama, United States",[],0,[],0,[Normal],1
"Albuquerque, New Mexico, United States",[],0,[],0,[],0
"Oxnard, California, United States",[],0,[],0,[],0
"Houston, Texas, United States",[],0,[],0,[],0
"Tallahassee, Florida, United States",[],0,[],0,[],0
"Houston, Texas, United States",[],0,[],0,[],0
